batsman,bowler,wicket
STR Binny,CR Woakes,1
P Negi,C de Grandhomme,1
S Badree,CR Woakes,1
TS Mills,C de Grandhomme,1
YS Chahal,C de Grandhomme,1
DPMD Jayawardene,SR Watson,1
DPMD Jayawardene,J Botha,1
BJ Hodge,SK Warne,1
RA Jadeja,SK Warne,1
RV Gomez,SK Trivedi,1
NLTC Perera,SK Trivedi,1
KM Jadhav,SK Trivedi,1
M Vijay,AC Thomas,1
SK Raina,AC Thomas,1
MS Dhoni,R Sharma,1
MEK Hussey,JE Taylor,1
JA Morkel,JE Taylor,1
S Anirudha,JE Taylor,1
MD Mishra,JA Morkel,1
M Manhas,DE Bollinger,1
NL McCullum,JA Morkel,1
JR Hopes,DL Vettori,1
MS Wade,A Mithun,1
Y Venugopal Rao,DL Vettori,1
JR Hopes,A Mithun,1
NV Ojha,S Aravind,1
CH Gayle,JR Hopes,1
CA Pujara,Y Nagar,1
SS Tiwary,M Morkel,1
A Mithun,M Morkel,1
JD Ryder,DE Bollinger,1
MD Mishra,DE Bollinger,1
M Manhas,KMDN Kulasekara,1
MK Pandey,TG Southee,1
MR Marsh,DE Bollinger,1
MEK Hussey,M Kartik,1
M Vijay,JD Ryder,1
B Chipli,R Vinay Kumar,1
KC Sangakkara,R Vinay Kumar,1
DT Christian,NLTC Perera,1
A Mishra,NLTC Perera,1
PA Patel,I Sharma,1
RV Gomez,I Sharma,1
BJ Hodge,I Sharma,1
KM Jadhav,I Sharma,1
NLTC Perera,MS Gony,1
R Vinay Kumar,DW Steyn,1
SP Goswami,AB Agarkar,1
G Gambhir,JR Hopes,1
RN ten Doeschate,M Morkel,1
MK Tiwary,AB Agarkar,1
IK Pathan,Iqbal Abdulla,1
TR Birt,YK Pathan,1
JR Hopes,Iqbal Abdulla,1
NV Ojha,Iqbal Abdulla,1
Y Venugopal Rao,B Lee,1
Y Nagar,L Balaji,1
DJ Jacobs,A Singh,1
SR Tendulkar,AL Menaria,1
AT Rayudu,AL Menaria,1
KA Pollard,J Botha,1
A Symonds,J Botha,1
R Sathish,J Botha,1
SL Malinga,A Singh,1
SR Watson,SL Malinga,1
J Botha,MM Patel,1
TM Dilshan,R Sharma,1
CH Gayle,R Sharma,1
AB de Villiers,AC Thomas,1
V Kohli,AC Thomas,1
SS Tiwary,JE Taylor,1
TD Paine,S Aravind,1
JD Ryder,J Syed Mohammad,1
MK Pandey,DL Vettori,1
M Manhas,CH Gayle,1
Y Venugopal Rao,RA Jadeja,1
TR Birt,RR Powar,1
RE van der Merwe,RP Singh,1
M Klinger,M Morkel,1
BB McCullum,IK Pathan,1
PA Patel,IK Pathan,1
DPMD Jayawardene,AB Agarkar,1
B Akhil,M Morkel,1
RR Powar,RE van der Merwe,1
S Sreesanth,RE van der Merwe,1
R Vinay Kumar,RE van der Merwe,1
PC Valthaty,YK Pathan,1
SE Marsh,Iqbal Abdulla,1
AC Gilchrist,Iqbal Abdulla,1
KD Karthik,R Bhatia,1
DJ Hussey,Iqbal Abdulla,1
KD Karthik,B Lee,1
EJG Morgan,BA Bhatt,1
RA Tripathi,KV Sharma,1
SPD Smith,Harbhajan Singh,1
BA Stokes,MG Johnson,1
MK Tiwary,JJ Bumrah,1
JC Buttler,BA Stokes,1
N Rana,DT Christian,1
PA Patel,Washington Sundar,1
KV Sharma,BA Stokes,1
KA Pollard,Imran Tahir,1
HH Pandya,JD Unadkat,1
JD Ryder,J Botha,1
Harpreet Singh,SR Watson,1
M Manhas,SK Trivedi,1
R Sharma,SK Trivedi,1
SR Watson,AC Thomas,1
R Dravid,R Sharma,1
J Botha,R Sharma,1
AL Menaria,R Sharma,1
M Vijay,PP Ojha,1
MEK Hussey,Harmeet Singh,1
S Sohal,SB Jakati,1
B Chipli,JA Morkel,1
KC Sangakkara,DE Bollinger,1
CL White,JA Morkel,1
JP Duminy,JA Morkel,1
DJ Jacobs,Bipul Sharma,1
SR Tendulkar,RJ Harris,1
KA Pollard,PP Chawla,1
RG Sharma,RJ Harris,1
PC Valthaty,A Symonds,1
KD Karthik,KA Pollard,1
AM Nayar,Harbhajan Singh,1
Bipul Sharma,SL Malinga,1
V Sehwag,P Parameswaran,1
Y Venugopal Rao,P Parameswaran,1
TR Birt,R Vinay Kumar,1
BB McCullum,M Morkel,1
M Klinger,RE van der Merwe,1
EJG Morgan,DT Christian,1
MK Tiwary,DW Steyn,1
S Sohal,Iqbal Abdulla,1
KC Sangakkara,Iqbal Abdulla,1
CL White,R Bhatia,1
DT Christian,R Bhatia,1
SR Watson,SB Jakati,1
J Botha,SB Jakati,1
R Dravid,S Randiv,1
AM Rahane,JA Morkel,1
M Vijay,J Botha,1
SK Raina,SK Trivedi,1
AC Blizzard,AC Thomas,1
SR Tendulkar,Yuvraj Singh,1
AT Rayudu,Yuvraj Singh,1
RG Sharma,R Sharma,1
TL Suman,R Sharma,1
A Symonds,JE Taylor,1
KA Pollard,JE Taylor,1
GC Smith,MM Patel,1
AA Jhunjhunwala,KA Pollard,1
SB Wagh,KA Pollard,1
M Klinger,YK Pathan,1
RA Jadeja,R Bhatia,1
JH Kallis,RV Gomez,1
G Gambhir,RV Gomez,1
EJG Morgan,R Vinay Kumar,1
B Lee,RP Singh,1
DB Ravi Teja,AM Salvi,1
S Dhawan,AB Agarkar,1
KC Sangakkara,JR Hopes,1
JP Duminy,M Morkel,1
B Chipli,AB Agarkar,1
AJ Finch,DW Steyn,1
NV Ojha,I Sharma,1
TR Birt,DT Christian,1
TM Dilshan,R McLaren,1
CH Gayle,PP Chawla,1
SS Tiwary,RJ Harris,1
AUK Pathan,RJ Harris,1
M Kaif,RJ Harris,1
AM Nayar,S Aravind,1
PC Valthaty,CH Gayle,1
SE Marsh,S Aravind,1
Sunny Singh,DL Vettori,1
KD Karthik,CH Gayle,1
PP Chawla,CH Gayle,1
R McLaren,S Aravind,1
RJ Harris,S Aravind,1
RA Tripathi,PP Chawla,1
MK Tiwary,Kuldeep Yadav,1
G Gambhir,DT Christian,1
S Badrinath,L Balaji,1
EJG Morgan,R Ashwin,1
SR Tendulkar,IK Pathan,1
AC Blizzard,S Nadeem,1
AT Rayudu,JR Hopes,1
CA Ingram,SL Malinga,1
NV Ojha,MM Patel,1
Y Venugopal Rao,DS Kulkarni,1
JR Hopes,Harbhajan Singh,1
Y Nagar,Harbhajan Singh,1
M Morkel,KA Pollard,1
S Nadeem,KA Pollard,1
M Klinger,CH Gayle,1
BJ Hodge,CH Gayle,1
BJ Hodge,S Aravind,1
RV Gomez,S Aravind,1
R Vinay Kumar,Z Khan,1
RA Jadeja,A Mithun,1
RR Powar,A Mithun,1
CH Gayle,R Vinay Kumar,1
AC Gilchrist,R Sharma,1
PC Valthaty,R Sharma,1
DJ Hussey,B Kumar,1
Mandeep Singh,WD Parnell,1
RJ Harris,MR Marsh,1
SD Chitnis,WD Parnell,1
JD Ryder,BA Bhatt,1
RV Uthappa,RJ Harris,1
Yuvraj Singh,SJ Srivastava,1
AA Jhunjhunwala,SJ Srivastava,1
MEK Hussey,J Botha,1
M Vijay,SK Warne,1
R Dravid,DE Bollinger,1
SR Watson,R Ashwin,1
AM Rahane,DJ Bravo,1
AS Raut,R Ashwin,1
DH Yagnik,DE Bollinger,1
J Botha,DE Bollinger,1
A Singh,SK Raina,1
SK Warne,SK Raina,1
DB Ravi Teja,MR Marsh,1
DT Christian,Yuvraj Singh,1
JP Duminy,MR Marsh,1
S Sohal,MR Marsh,1
A Mishra,MR Marsh,1
DW Steyn,WD Parnell,1
JD Ryder,PP Ojha,1
RV Uthappa,DT Christian,1
PC Valthaty,MM Patel,1
AC Gilchrist,SL Malinga,1
SE Marsh,MM Patel,1
KD Karthik,MM Patel,1
AC Blizzard,P Kumar,1
AT Rayudu,Bipul Sharma,1
TL Suman,RJ Harris,1
Harbhajan Singh,BA Bhatt,1
KA Pollard,BA Bhatt,1
DS Kulkarni,BA Bhatt,1
MM Patel,BA Bhatt,1
R Dravid,S Aravind,1
J Botha,AA Kazi,1
J Botha,S Aravind,1
LRPL Taylor,CK Langeveldt,1
AL Menaria,CH Gayle,1
SK Raina,VR Aaron,1
M Vijay,AB Agarkar,1
MS Dhoni,IK Pathan,1
CA Ingram,R Ashwin,1
DA Warner,DJ Bravo,1
JR Hopes,DJ Bravo,1
AB McDonald,DE Bollinger,1
BJ Hodge,Bipul Sharma,1
OA Shah,SJ Srivastava,1
PA Patel,SJ Srivastava,1
RV Gomez,RJ Harris,1
PC Valthaty,RP Singh,1
AC Gilchrist,RP Singh,1
KD Karthik,RP Singh,1
SE Marsh,RP Singh,1
V Kohli,Basil Thampi,1
CH Gayle,AJ Tye,1
TM Head,AJ Tye,1
KM Jadhav,RA Jadeja,1
Mandeep Singh,Ankit Soni,1
P Negi,Ankit Soni,1
S Badree,RA Jadeja,1
Mandeep Singh,AJ Tye,1
S Aravind,JP Faulkner,1
YS Chahal,JP Faulkner,1
Ishan Kishan,S Badree,1
BB McCullum,S Badree,1
EJG Morgan,Z Khan,1
JH Kallis,CK Langeveldt,1
YK Pathan,CK Langeveldt,1
CH Gayle,B Lee,1
LA Pomersbach,JH Kallis,1
M Kaif,JD Unadkat,1
KB Arun Karthik,Iqbal Abdulla,1
SS Tiwary,L Balaji,1
MJ Lumb,SL Malinga,1
KC Sangakkara,DS Kulkarni,1
S Sohal,KA Pollard,1
JP Duminy,Harbhajan Singh,1
B Chipli,DS Kulkarni,1
DT Christian,DS Kulkarni,1
AC Blizzard,JP Duminy,1
AT Rayudu,I Sharma,1
TL Suman,Anand Rajan,1
SR Tendulkar,Anand Rajan,1
KA Pollard,Anand Rajan,1
Harbhajan Singh,Anand Rajan,1
AC Gilchrist,M Morkel,1
SE Marsh,IK Pathan,1
DJ Hussey,AM Salvi,1
Mandeep Singh,IK Pathan,1
KD Karthik,AM Salvi,1
NV Ojha,SJ Srivastava,1
DA Warner,SJ Srivastava,1
S Sriram,PP Chawla,1
IK Pathan,PC Valthaty,1
JR Hopes,PP Chawla,1
TR Birt,P Kumar,1
Y Nagar,RJ Harris,1
FY Fazal,RP Singh,1
R Dravid,S Sreesanth,1
AM Rahane,S Sreesanth,1
SR Watson,P Parameswaran,1
PR Shah,BJ Hodge,1
JDP Oram,BJ Hodge,1
SK Warne,BJ Hodge,1
ND Doshi,P Parameswaran,1
DPMD Jayawardene,JDP Oram,1
BB McCullum,ND Doshi,1
JD Ryder,DW Steyn,1
SC Ganguly,DT Christian,1
M Manhas,A Mishra,1
CJ Ferguson,JP Duminy,1
MR Marsh,PP Ojha,1
WD Parnell,PP Ojha,1
S Sohal,R Sharma,1
JP Duminy,WD Parnell,1
PC Valthaty,CK Langeveldt,1
AC Gilchrist,CK Langeveldt,1
CH Gayle,RJ Harris,1
SS Tiwary,SJ Srivastava,1
AUK Pathan,PC Valthaty,1
M Kaif,PP Chawla,1
KB Arun Karthik,PP Chawla,1
JJ van der Wath,PP Chawla,1
A Mithun,RJ Harris,1
CK Langeveldt,SJ Srivastava,1
SK Raina,S Sreesanth,1
S Badrinath,BJ Hodge,1
Y Gnaneswara Rao,DJ Bravo,1
RA Jadeja,DE Bollinger,1
BJ Hodge,DE Bollinger,1
CJ Ferguson,Shakib Al Hasan,1
RV Uthappa,YK Pathan,1
S Rana,L Balaji,1
SP Goswami,AC Thomas,1
TL Suman,SR Watson,1
SR Tendulkar,A Singh,1
KA Pollard,SR Watson,1
DB Ravi Teja,PC Valthaty,1
JP Duminy,RJ Harris,1
PC Valthaty,DW Steyn,1
AC Gilchrist,DT Christian,1
KD Karthik,DT Christian,1
AM Nayar,PP Ojha,1
R McLaren,A Mishra,1
RJ Harris,A Mishra,1
P Kumar,A Mishra,1
PP Chawla,Anand Rajan,1
AM Rahane,T Natarajan,1
SPD Smith,MP Stoinis,1
MS Dhoni,Swapnil Singh,1
BA Stokes,AR Patel,1
DT Christian,Sandeep Sharma,1
M Vohra,AB Dinda,1
WP Saha,Imran Tahir,1
HM Amla,RD Chahar,1
KK Nair,SP Narine,1
SS Iyer,NM Coulter-Nile,1
CH Morris,NM Coulter-Nile,1
SP Narine,K Rabada,1
G Gambhir,CJ Anderson,1
MK Pandey,K Rabada,1
DA Warner,JP Faulkner,1
NV Ojha,SS Mundhe,1
MS Wade,MR Marsh,1
WP Saha,V Kohli,1
DJ Bravo,DL Vettori,1
JA Morkel,A Mithun,1
R Ashwin,S Aravind,1
G Gambhir,AN Ahmed,1
YK Pathan,JEC Franklin,1
JH Kallis,JEC Franklin,1
RN ten Doeschate,AN Ahmed,1
R Bhatia,AN Ahmed,1
TL Suman,Iqbal Abdulla,1
Harbhajan Singh,R Bhatia,1
KA Pollard,L Balaji,1
MA Agarwal,DJ Bravo,1
LA Pomersbach,DE Bollinger,1
S Badrinath,A Mithun,1
MK Tiwary,DS Kulkarni,1
YK Pathan,MM Patel,1
RN ten Doeschate,DS Kulkarni,1
AC Blizzard,B Lee,1
KA Pollard,Shakib Al Hasan,1
TL Suman,Shakib Al Hasan,1
MA Agarwal,KA Pollard,1
V Kohli,AN Ahmed,1
LA Pomersbach,MM Patel,1
AC Blizzard,S Aravind,1
Harbhajan Singh,S Aravind,1
SR Tendulkar,J Syed Mohammad,1
RG Sharma,DL Vettori,1
AT Rayudu,DL Vettori,1
KA Pollard,DL Vettori,1
JEC Franklin,Z Khan,1
SL Malinga,J Syed Mohammad,1
MEK Hussey,J Syed Mohammad,1
MS Dhoni,S Aravind,1
JA Morkel,CH Gayle,1
SK Raina,CH Gayle,1
LA Pomersbach,SB Jakati,1
V Kohli,SK Raina,1
DL Vettori,R Ashwin,1
A Mithun,DJ Bravo,1
M Vijay,JEC Franklin,1
JA Morkel,KA Pollard,1
DE Bollinger,SL Malinga,1
RE Levi,DJ Bravo,1
BB McCullum,RE van der Merwe,1
JH Kallis,M Morkel,1
G Gambhir,M Morkel,1
LR Shukla,M Morkel,1
LR Shukla,UT Yadav,1
R Bhatia,RE van der Merwe,1
B Lee,RE van der Merwe,1
V Sehwag,R Bhatia,1
WD Parnell,MM Patel,1
CJ Ferguson,KA Pollard,1
MN Samuels,SL Malinga,1
B Kumar,PP Ojha,1
SPD Smith,MM Patel,1
M Kartik,MM Patel,1
RE Levi,M Kartik,1
KD Karthik,M Kartik,1
SA Yadav,MN Samuels,1
KA Pollard,R Sharma,1
JEC Franklin,AB Dinda,1
SL Malinga,WD Parnell,1
DA Warner,GJ Maxwell,1
Yuvraj Singh,GJ Maxwell,1
M Vohra,A Nehra,1
GJ Maxwell,S Kaul,1
EJG Morgan,Rashid Khan,1
WP Saha,S Kaul,1
AR Patel,S Kaul,1
MM Sharma,A Nehra,1
Anureet Singh,A Nehra,1
BJ Hodge,JP Faulkner,1
AM Rahane,JP Faulkner,1
AC Gilchrist,A Singh,1
PC Valthaty,KK Cooper,1
AM Nayar,KK Cooper,1
Bipul Sharma,AA Chavan,1
Mandeep Singh,AA Chavan,1
P Kumar,A Singh,1
CA Pujara,M Morkel,1
AB McDonald,M Morkel,1
V Kohli,DAJ Bracewell,1
SS Tiwary,GJ Maxwell,1
MA Agarwal,S Nadeem,1
DL Vettori,GJ Maxwell,1
R Vinay Kumar,DAJ Bracewell,1
HV Patel,DAJ Bracewell,1
NV Ojha,M Muralitharan,1
AJ Finch,M Muralitharan,1
GJ Maxwell,M Muralitharan,1
Y Venugopal Rao,AB McDonald,1
Y Nagar,DL Vettori,1
M Vijay,Ankit Sharma,1
SK Raina,DT Christian,1
F du Plessis,TP Sudhindra,1
S Badrinath,DT Christian,1
DJ Harris,DE Bollinger,1
PA Patel,RA Jadeja,1
CL White,SB Jakati,1
B Chipli,RA Jadeja,1
DT Christian,SB Jakati,1
MS Gony,RA Jadeja,1
DB Ravi Teja,RA Jadeja,1
DW Steyn,RA Jadeja,1
Ankit Sharma,DE Bollinger,1
R Dravid,JH Kallis,1
BJ Hodge,B Lee,1
AL Menaria,B Lee,1
G Gambhir,A Singh,1
BB McCullum,AA Chavan,1
DB Das,KK Cooper,1
YK Pathan,SK Trivedi,1
R Bhatia,SK Trivedi,1
LR Shukla,AA Chavan,1
B Lee,KK Cooper,1
SP Narine,KK Cooper,1
MK Tiwary,J Botha,1
MN Samuels,P Kumar,1
MN Samuels,Harmeet Singh,1
CJ Ferguson,Harmeet Singh,1
SPD Smith,JP Faulkner,1
Mandeep Singh,MN Samuels,1
Mandeep Singh,JD Ryder,1
DJ Hussey,R Sharma,1
PP Chawla,R Sharma,1
AD Mascarenhas,MN Samuels,1
JP Faulkner,AB Dinda,1
PA Patel,MM Patel,1
B Chipli,MM Patel,1
KC Sangakkara,MM Patel,1
Ankit Sharma,KA Pollard,1
KA Pollard,DT Christian,1
MS Bisla,M Muralitharan,1
MK Tiwary,Z Khan,1
RN ten Doeschate,M Muralitharan,1
LR Shukla,HV Patel,1
MA Agarwal,L Balaji,1
DL Vettori,L Balaji,1
SS Tiwary,RN ten Doeschate,1
HV Patel,Shakib Al Hasan,1
F du Plessis,IK Pathan,1
F du Plessis,M Morkel,1
S Badrinath,RE van der Merwe,1
MS Dhoni,M Morkel,1
R Ashwin,M Morkel,1
V Sehwag,R Ashwin,1
TL Suman,A Singh,1
RG Sharma,GB Hogg,1
RE Levi,GB Hogg,1
KA Pollard,AA Chavan,1
JEC Franklin,A Singh,1
AM Rahane,KA Pollard,1
OA Shah,SL Malinga,1
J Botha,SL Malinga,1
KK Cooper,MM Patel,1
AL Menaria,KA Pollard,1
AA Chavan,KA Pollard,1
A Singh,KA Pollard,1
GB Hogg,MM Patel,1
MA Agarwal,JA Morkel,1
CH Gayle,RA Jadeja,1
SS Tiwary,RA Jadeja,1
V Kohli,DE Bollinger,1
CA Pujara,DE Bollinger,1
SK Raina,M Muralitharan,1
F du Plessis,M Muralitharan,1
SPD Smith,STR Binny,1
TM Head,JD Unadkat,1
AB de Villiers,LH Ferguson,1
KM Jadhav,LH Ferguson,1
Sachin Baby,Washington Sundar,1
STR Binny,LH Ferguson,1
P Negi,Imran Tahir,1
AF Milne,Imran Tahir,1
S Badree,Imran Tahir,1
V Kohli,DT Christian,1
JD Ryder,P Kumar,1
MN Samuels,AD Mascarenhas,1
AD Mathews,Harmeet Singh,1
SPD Smith,PP Chawla,1
MK Pandey,Harmeet Singh,1
M Manhas,AD Mascarenhas,1
R Sharma,AD Mascarenhas,1
A Nehra,P Awana,1
AM Rahane,Shakib Al Hasan,1
R Dravid,Shakib Al Hasan,1
SP Goswami,Shakib Al Hasan,1
OA Shah,SP Narine,1
JH Kallis,J Botha,1
MS Bisla,AL Menaria,1
MK Tiwary,GB Hogg,1
Shakib Al Hasan,A Singh,1
KC Sangakkara,M Morkel,1
JP Duminy,S Nadeem,1
AA Jhunjhunwala,M Morkel,1
DW Steyn,M Morkel,1
A Mishra,M Morkel,1
NV Ojha,V Pratap Singh,1
DPMD Jayawardene,DT Christian,1
KP Pietersen,DT Christian,1
F du Plessis,R Sharma,1
SK Raina,R Sharma,1
RA Jadeja,A Nehra,1
MN Samuels,VY Mahesh,1
AC Gilchrist,SP Narine,1
SE Marsh,SP Narine,1
Mandeep Singh,Shakib Al Hasan,1
Bipul Sharma,SP Narine,1
P Kumar,SP Narine,1
Harmeet Singh,SP Narine,1
MK Tiwary,BA Bhatt,1
Shakib Al Hasan,PP Chawla,1
RN ten Doeschate,Harmeet Singh,1
R Dravid,DL Vettori,1
MA Agarwal,Pankaj Singh,1
CH Gayle,Pankaj Singh,1
AB de Villiers,SK Trivedi,1
SS Tiwary,SK Trivedi,1
DL Vettori,SK Trivedi,1
M Kaif,J Botha,1
Z Khan,GB Hogg,1
M Muralitharan,A Singh,1
DJ Jacobs,S Nadeem,1
RE Levi,S Nadeem,1
AT Rayudu,AB Agarkar,1
KA Pollard,UT Yadav,1
RG Sharma,AB Agarkar,1
KD Karthik,UT Yadav,1
CJ McKay,IK Pathan,1
RP Singh,M Morkel,1
Harbhajan Singh,M Morkel,1
PP Ojha,AB Agarkar,1
KP Pietersen,RP Singh,1
KC Sangakkara,BJ Hodge,1
S Dhawan,SK Trivedi,1
R Dravid,DT Christian,1
AL Menaria,A Mishra,1
OA Shah,A Mishra,1
JD Ryder,HV Patel,1
RV Uthappa,DL Vettori,1
AD Mathews,Z Khan,1
MA Agarwal,MN Samuels,1
V Kohli,AD Mathews,1
CH Gayle,A Nehra,1
PC Valthaty,B Lee,1
Mandeep Singh,L Balaji,1
SE Marsh,B Lee,1
P Dogra,SP Narine,1
PP Chawla,SP Narine,1
Ishan Kishan,Harbhajan Singh,1
RA Jadeja,KH Pandya,1
IK Pathan,KH Pandya,1
PA Patel,Ankit Soni,1
N Rana,Ankit Soni,1
KA Pollard,Basil Thampi,1
HH Pandya,Basil Thampi,1
Harbhajan Singh,Basil Thampi,1
MJ McClenaghan,Basil Thampi,1
JJ Bumrah,IK Pathan,1
SL Malinga,IK Pathan,1
JC Buttler,JP Faulkner,1
DJ Harris,M Morkel,1
KC Sangakkara,VR Aaron,1
CL White,VR Aaron,1
V Sehwag,S Dhawan,1
F du Plessis,MN Samuels,1
S Badrinath,MN Samuels,1
SK Raina,A Nehra,1
DJ Bravo,A Nehra,1
RA Jadeja,MN Samuels,1
RV Uthappa,KMDN Kulasekara,1
SC Ganguly,SB Jakati,1
MN Samuels,R Ashwin,1
SPD Smith,DE Bollinger,1
AD Mathews,DJ Bravo,1
N Saini,Z Khan,1
PC Valthaty,Z Khan,1
DA Miller,AB McDonald,1
DJ Hussey,HV Patel,1
MA Agarwal,P Awana,1
SS Tiwary,P Awana,1
R Dravid,SB Jakati,1
AL Menaria,DE Bollinger,1
OA Shah,KMDN Kulasekara,1
S Badrinath,GB Hogg,1
F du Plessis,KK Cooper,1
RV Uthappa,M Morkel,1
JD Ryder,M Morkel,1
DPMD Jayawardene,AC Thomas,1
KP Pietersen,SC Ganguly,1
V Sehwag,M Kartik,1
LRPL Taylor,SC Ganguly,1
LRPL Taylor,AC Thomas,1
Y Nagar,AC Thomas,1
JEC Franklin,P Kumar,1
N Saini,PP Ojha,1
Mandeep Singh,KA Pollard,1
DJ Hussey,KA Pollard,1
Azhar Mahmood,PP Ojha,1
KC Sangakkara,L Balaji,1
PA Patel,R Bhatia,1
CL White,B Lee,1
IR Jaggi,SP Narine,1
Ankit Sharma,L Balaji,1
DW Steyn,SP Narine,1
G Gambhir,Anand Rajan,1
YK Pathan,Ankit Sharma,1
V Kohli,Pankaj Singh,1
MA Agarwal,GB Hogg,1
AM Rahane,KP Appanna,1
OA Shah,KP Appanna,1
SP Goswami,KP Appanna,1
R Dravid,KP Appanna,1
BJ Hodge,HV Patel,1
KK Cooper,Z Khan,1
GB Hogg,HV Patel,1
V Sehwag,AC Thomas,1
KP Pietersen,R Sharma,1
Mandeep Singh,RP Singh,1
N Saini,CJ McKay,1
SE Marsh,JEC Franklin,1
JEC Franklin,Azhar Mahmood,1
SR Tendulkar,Azhar Mahmood,1
Harbhajan Singh,P Awana,1
SW Billings,Sandeep Sharma,1
RR Pant,GJ Maxwell,1
CH Morris,AR Patel,1
CJ Anderson,VR Aaron,1
K Rabada,Sandeep Sharma,1
Mohammed Shami,VR Aaron,1
S Nadeem,MM Sharma,1
JD Ryder,Ankit Sharma,1
MK Pandey,J Theron,1
SC Ganguly,MS Gony,1
MN Samuels,A Ashish Reddy,1
SPD Smith,J Theron,1
AC Thomas,MS Gony,1
DPMD Jayawardene,RJ Peterson,1
V Sehwag,RJ Peterson,1
IK Pathan,RJ Peterson,1
Y Nagar,SL Malinga,1
AC Blizzard,IK Pathan,1
SR Tendulkar,M Morkel,1
KA Pollard,S Nadeem,1
RJ Peterson,M Morkel,1
Harbhajan Singh,UT Yadav,1
SL Malinga,UT Yadav,1
Azhar Mahmood,DJ Bravo,1
DA Miller,JA Morkel,1
Mandeep Singh,DJ Bravo,1
DJ Hussey,JA Morkel,1
N Saini,KMDN Kulasekara,1
F du Plessis,Azhar Mahmood,1
S Badrinath,Azhar Mahmood,1
WP Saha,DJ Hussey,1
MS Dhoni,BA Bhatt,1
DJ Bravo,P Kumar,1
TM Dilshan,YK Pathan,1
AB de Villiers,JH Kallis,1
SS Tiwary,R Bhatia,1
MA Agarwal,SP Narine,1
CH Gayle,LR Shukla,1
DPMD Jayawardene,Pankaj Singh,1
KP Pietersen,AA Chavan,1
LRPL Taylor,Pankaj Singh,1
NV Ojha,A Singh,1
Y Nagar,A Singh,1
PA Patel,RP Singh,1
IR Jaggi,Harbhajan Singh,1
CL White,SL Malinga,1
DT Christian,JEC Franklin,1
B Chipli,JEC Franklin,1
A Ashish Reddy,MM Patel,1
V Pratap Singh,SL Malinga,1
SR Tendulkar,V Pratap Singh,1
RG Sharma,JP Duminy,1
JEC Franklin,A Ashish Reddy,1
F du Plessis,B Lee,1
DJ Bravo,JH Kallis,1
RA Jadeja,SP Narine,1
MK Tiwary,JA Morkel,1
G Gambhir,DJ Bravo,1
PA Patel,MN Samuels,1
S Dhawan,B Kumar,1
KC Sangakkara,A Nehra,1
CL White,WD Parnell,1
MK Pandey,Ankit Sharma,1
MJ Clarke,V Pratap Singh,1
SC Ganguly,S Dhawan,1
M Manhas,V Pratap Singh,1
AM Rahane,P Negi,1
OA Shah,UT Yadav,1
BJ Hodge,P Negi,1
AL Menaria,P Negi,1
R Dravid,M Morkel,1
DPMD Jayawardene,AA Chavan,1
KP Pietersen,SR Watson,1
LRPL Taylor,GB Hogg,1
MA Agarwal,RJ Harris,1
CH Gayle,Azhar Mahmood,1
AB McDonald,Azhar Mahmood,1
AB de Villiers,Azhar Mahmood,1
Mandeep Singh,KP Appanna,1
N Saini,AB McDonald,1
Azhar Mahmood,DL Vettori,1
DJ Hussey,Z Khan,1
P Dogra,Z Khan,1
S Dhawan,CR Woakes,1
DA Warner,CR Woakes,1
Yuvraj Singh,NM Coulter-Nile,1
SP Narine,Mohammed Siraj,1
G Gambhir,S Kaul,1
RV Uthappa,Mohammed Siraj,1
YK Pathan,Rashid Khan,1
SP Jackson,B Kumar,1
C de Grandhomme,S Kaul,1
JEC Franklin,B Kumar,1
RG Sharma,MJ Clarke,1
SR Tendulkar,A Nehra,1
RJ Peterson,A Nehra,1
RV Uthappa,MM Patel,1
MJ Clarke,Harbhajan Singh,1
SPD Smith,PP Ojha,1
SC Ganguly,SL Malinga,1
WD Parnell,SL Malinga,1
M Vijay,V Pratap Singh,1
F du Plessis,V Pratap Singh,1
JA Morkel,AA Jhunjhunwala,1
RA Jadeja,A Ashish Reddy,1
MS Dhoni,DT Christian,1
PA Patel,JA Morkel,1
KC Sangakkara,SK Raina,1
A Ashish Reddy,BW Hilfenhaus,1
G Gambhir,M Kartik,1
BB McCullum,AD Mathews,1
JH Kallis,AD Mathews,1
LR Shukla,B Kumar,1
MJ Clarke,M de Lange,1
RV Uthappa,M de Lange,1
M Manhas,JH Kallis,1
SPD Smith,SP Narine,1
SC Ganguly,R Bhatia,1
AD Mathews,M de Lange,1
AM Rahane,RJ Harris,1
STR Binny,RJ Harris,1
Mandeep Singh,SR Watson,1
N Saini,SW Tait,1
SE Marsh,J Botha,1
Azhar Mahmood,STR Binny,1
Gurkeerat Singh,J Botha,1
RJ Harris,SW Tait,1
SK Raina,JEC Franklin,1
DJ Bravo,SL Malinga,1
MS Dhoni,RP Singh,1
JA Morkel,RP Singh,1
JEC Franklin,BW Hilfenhaus,1
SR Tendulkar,R Ashwin,1
AT Rayudu,RA Jadeja,1
RJ Peterson,DJ Bravo,1
SL Malinga,BW Hilfenhaus,1
S Dhawan,J Syed Mohammad,1
CH Gayle,Anand Rajan,1
V Kohli,A Mishra,1
AUK Pathan,A Mishra,1
TM Dilshan,V Pratap Singh,1
MA Agarwal,A Ashish Reddy,1
LRPL Taylor,SP Narine,1
LRPL Taylor,PJ Sangwan,1
